,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Amount_Total,Total_Purchases,Children,Family_Size,Total_AcceptedCmp,Days_Active
30,Master,Single,10979.0,34,8,4,10.0,2,2,4,2,3.0,0.0,3,5,0,0,0,0,0,0,0,25.0,28,8.0,0,1,0,165
31,Master,In Relationship,38620.0,56,112,17,44.0,34,22,89,1,2.0,5.0,3,3,0,0,0,0,0,0,0,51.0,284,11.0,0,2,0,341
32,Graduation,In Relationship,40548.0,31,110,0,5.0,2,0,3,2,2.0,1.0,4,5,0,1,0,0,0,0,0,44.0,118,9.0,1,3,1,757
33,PhD,Single,46610.0,8,96,12,96.0,33,22,43,6,4.0,1.0,6,6,0,0,0,0,0,0,1,62.0,269,17.0,2,3,1,761
34,Master,In Relationship,68657.0,4,482,34,471.0,119,68,22,1,3.0,5.0,9,7,0,0,0,0,0,0,0,68.0,1077,18.0,0,2,0,651
35,Master,Single,49389.0,55,40,0,19.0,2,1,3,1,2.0,0.0,3,7,0,0,0,0,0,0,0,63.0,63,6.0,2,3,0,410
36,PhD,In Relationship,67353.0,37,702,17,151.0,0,8,35,5,5.0,6.0,12,2,0,0,0,0,0,0,0,44.0,913,28.0,1,3,0,304
37,2n Cycle,In Relationship,23718.0,76,6,3,14.0,15,7,36,3,3.0,1.0,2,7,0,0,0,0,0,0,0,38.0,66,9.0,1,3,0,590
38,Graduation,Single,42429.0,99,55,0,6.0,2,0,4,2,1.0,1.0,3,5,0,0,0,0,0,0,0,41.0,65,7.0,1,2,0,-64
39,PhD,Single,48948.0,53,437,8,206.0,160,49,42,2,7.0,10.0,5,6,1,0,0,0,0,0,1,71.0,742,24.0,0,1,2,651
40,Graduation,In Relationship,80011.0,3,421,76,536.0,82,178,102,2,8.0,6.0,5,4,0,0,0,0,0,0,0,34.0,1313,21.0,1,3,0,584
41,Master,In Relationship,20559.0,88,13,1,29.0,3,0,7,2,2.0,0.0,3,8,0,0,0,0,0,0,0,29.0,50,7.0,1,3,0,281
42,Graduation,In Relationship,21994.0,4,9,0,6.0,3,1,3,1,0.0,0.0,3,5,0,0,0,0,0,0,0,57.0,19,4.0,1,3,0,709
43,PhD,Single,52247.25135379061,80,81,11,50.0,3,2,39,1,1.0,3.0,4,2,0,0,0,0,0,0,0,55.0,183,9.0,0,1,0,495
44,Master,In Relationship,7500.0,19,3,1,10.0,3,2,12,3,2.0,0.0,3,5,0,0,0,0,0,0,0,39.0,28,8.0,1,3,0,646
45,Graduation,Single,79941.0,72,123,164,266.0,227,30,174,1,2.0,4.0,9,1,0,0,0,0,0,0,0,38.0,757,16.0,0,1,0,90
46,2n Cycle,In Relationship,7500.0,24,3,18,14.0,15,22,50,3,3.0,1.0,3,9,0,0,0,0,0,0,1,18.0,107,10.0,0,2,1,793
47,Graduation,In Relationship,41728.0,92,13,6,15.0,3,5,13,1,2.0,0.0,2,10,0,0,0,0,0,0,0,46.0,52,5.0,1,3,0,470
48,Graduation,Single,52247.25135379061,96,48,5,48.0,6,10,7,3,2.0,1.0,4,6,0,0,0,0,0,0,0,63.0,118,10.0,3,4,0,244
49,PhD,In Relationship,72550.0,39,826,50,317.0,50,38,38,9,5.0,2.0,12,8,0,0,0,0,0,0,0,60.0,1269,28.0,2,4,0,809
50,Graduation,Single,65486.0,29,245,19,125.0,37,67,14,1,4.0,2.0,10,2,0,0,0,0,0,0,0,57.0,470,17.0,1,2,0,-27
51,Master,In Relationship,79143.0,2,650,37,780.0,27,167,32,1,6.0,9.0,13,3,0,0,0,0,0,0,0,50.0,1666,29.0,0,2,0,757
52,Graduation,Single,35790.0,54,12,6,20.0,30,1,3,2,2.0,0.0,3,7,0,0,0,0,0,0,0,37.0,42,7.0,1,2,0,620
53,Graduation,Single,82582.0,54,510,120,550.0,156,40,241,1,4.0,9.0,7,1,1,0,0,1,0,0,1,37.0,1461,21.0,0,1,3,100
54,Graduation,In Relationship,66373.0,57,328,9,124.0,12,24,109,7,4.0,2.0,10,3,0,0,0,0,0,0,0,36.0,594,23.0,2,4,0,309
55,Master,In Relationship,82384.0,55,984,51,432.0,180,120,190,1,3.0,10.0,13,1,0,0,1,0,0,0,1,59.0,1777,27.0,0,2,2,693
56,Graduation,Single,70287.0,30,295,35,482.0,121,120,40,1,5.0,5.0,10,3,0,0,0,0,0,0,1,48.0,972,21.0,0,1,1,641
57,Graduation,Single,27938.0,31,13,0,8.0,2,1,5,1,1.0,0.0,4,3,0,0,0,0,0,0,0,26.0,27,6.0,1,2,0,192
58,Graduation,Single,52247.25135379061,57,11,3,22.0,2,2,6,2,2.0,0.0,3,6,0,0,0,0,0,0,0,32.0,44,7.0,1,2,0,481
59,PhD,In Relationship,55954.0,63,447,0,28.0,0,0,43,3,8.0,2.0,6,7,0,0,0,0,0,0,0,46.0,518,19.0,1,3,0,216
60,Master,Single,75777.0,12,712,26,538.0,69,13,80,1,3.0,6.0,11,1,0,1,1,0,0,0,1,32.0,1369,21.0,0,1,3,597
61,Graduation,In Relationship,66653.0,18,452,18,102.0,16,18,6,4,4.0,2.0,12,3,0,0,0,0,0,0,0,39.0,596,22.0,2,4,0,863
62,Graduation,Single,61823.0,26,523,7,134.0,37,14,169,4,8.0,2.0,10,7,0,0,0,0,0,0,0,62.0,847,24.0,1,2,0,631
63,PhD,Single,67680.0,8,546,0,48.0,0,6,6,1,7.0,3.0,8,5,0,0,0,0,0,0,0,63.0,606,19.0,1,2,0,388
64,Graduation,In Relationship,70666.0,29,398,40,367.0,119,122,30,1,7.0,4.0,4,4,0,0,0,0,0,0,0,66.0,957,16.0,0,2,0,514
65,Graduation,In Relationship,25721.0,75,1,3,6.0,3,6,15,1,1.0,1.0,2,7,0,0,0,0,0,0,1,43.0,31,5.0,1,3,1,490
66,Graduation,In Relationship,32474.0,0,10,0,1.0,0,0,0,1,1.0,0.0,2,7,0,0,0,0,0,0,0,47.0,11,4.0,2,4,0,32
67,2n Cycle,Single,88194.0,19,688,14,309.0,201,24,38,1,11.0,10.0,10,5,1,0,0,1,0,0,1,35.0,1073,32.0,1,2,3,244
68,Graduation,In Relationship,69096.0,4,247,49,159.0,7,82,109,1,5.0,2.0,10,4,0,0,0,0,0,0,0,56.0,646,18.0,1,3,0,432
69,Graduation,In Relationship,74854.0,90,856,59,487.0,58,29,73,7,2.0,5.0,5,5,0,0,0,0,0,0,0,44.0,1504,19.0,3,5,0,400
70,Master,In Relationship,66991.0,1,496,36,460.0,189,60,12,3,4.0,8.0,6,3,0,0,0,0,0,0,0,60.0,1064,21.0,0,2,0,757
71,2n Cycle,In Relationship,52247.25135379061,25,25,3,43.0,17,4,17,3,3.0,0.0,3,8,0,0,0,0,0,0,0,41.0,92,9.0,1,3,0,789
72,Graduation,In Relationship,65031.0,29,258,107,291.0,84,37,86,4,10.0,3.0,13,7,0,0,0,0,0,0,0,55.0,779,30.0,1,3,0,601
73,PhD,In Relationship,60631.0,88,565,6,65.0,0,6,19,5,9.0,2.0,8,7,0,1,0,0,0,0,0,39.0,661,24.0,2,4,1,494
74,Graduation,In Relationship,28332.0,58,14,10,13.0,4,15,9,1,2.0,1.0,4,2,0,0,0,0,0,0,0,62.0,61,8.0,0,2,0,163
75,Graduation,Single,40246.0,68,2,1,6.0,2,1,1,1,1.0,0.0,2,6,0,0,0,0,0,0,0,37.0,11,4.0,1,2,0,650
76,Master,In Relationship,75251.0,34,721,111,925.0,97,18,18,1,7.0,6.0,5,5,0,0,0,0,0,0,1,42.0,1793,19.0,0,2,1,798
77,Graduation,Single,75825.0,40,1032,105,779.0,137,105,51,0,5.0,8.0,9,4,1,0,0,0,0,0,1,38.0,2072,22.0,0,1,2,687
78,2n Cycle,In Relationship,26326.0,12,1,0,5.0,0,3,9,1,0.0,0.0,3,3,0,0,0,0,0,1,0,38.0,18,4.0,0,2,0,595
79,Graduation,In Relationship,56046.0,9,577,0,64.0,0,0,51,2,10.0,1.0,8,8,1,0,0,0,0,0,1,49.0,692,21.0,0,2,2,665
80,Graduation,Single,29760.0,87,64,4,68.0,7,5,17,4,3.0,1.0,4,8,0,0,0,0,0,0,0,29.0,158,12.0,1,2,0,743
81,Graduation,In Relationship,26304.0,5,4,1,5.0,2,0,4,1,1.0,0.0,2,7,0,0,0,0,0,0,0,45.0,14,4.0,1,3,0,527
82,2n Cycle,In Relationship,23559.0,87,25,5,19.0,7,0,23,3,3.0,0.0,3,7,0,0,0,0,0,0,0,41.0,72,9.0,1,3,0,553
83,Master,In Relationship,38620.0,56,112,17,44.0,34,22,89,1,2.0,5.0,3,3,0,0,0,0,0,0,0,51.0,284,11.0,0,2,0,341
84,Graduation,Single,81361.0,18,163,23,424.0,27,65,76,1,3.0,10.0,13,1,0,0,0,0,0,0,0,27.0,751,27.0,0,1,0,267
85,Graduation,In Relationship,29440.0,95,17,8,14.0,10,4,3,2,1.0,0.0,4,7,0,0,0,0,0,0,0,54.0,46,7.0,2,4,0,299
86,Master,In Relationship,36138.0,48,130,0,16.0,0,0,5,5,3.0,1.0,4,7,0,1,0,0,0,0,0,44.0,151,13.0,2,4,1,461
87,Graduation,Single,50388.0,3,292,6,37.0,0,3,34,4,6.0,1.0,6,7,0,1,0,1,0,0,1,57.0,372,17.0,1,2,3,190
88,Graduation,In Relationship,79593.0,70,350,60,568.0,110,133,145,1,5.0,6.0,7,2,0,0,1,0,0,0,0,41.0,1256,19.0,0,2,1,-68
89,Graduation,In Relationship,54178.0,79,135,9,39.0,4,0,7,1,2.0,2.0,5,2,0,0,0,0,0,0,0,47.0,190,10.0,1,3,0,241
90,PhD,In Relationship,52247.25135379061,4,230,42,192.0,49,37,53,12,7.0,2.0,8,9,0,0,0,0,0,0,0,57.0,554,29.0,3,5,0,744
91,Graduation,Single,52247.25135379061,45,7,0,8.0,2,0,1,1,1.0,0.0,2,7,0,0,0,0,0,0,0,57.0,16,4.0,2,3,0,149
92,Master,In Relationship,52247.25135379061,87,445,37,359.0,98,28,18,1,2.0,4.0,8,1,0,0,0,0,0,0,0,41.0,887,15.0,0,2,0,292
93,Master,Single,42394.0,69,15,2,10.0,0,1,4,1,1.0,0.0,3,7,0,0,0,0,0,0,0,42.0,32,5.0,1,2,0,190
94,PhD,In Relationship,23626.0,84,27,2,14.0,0,0,0,3,3.0,1.0,3,5,0,0,0,0,0,0,0,44.0,43,10.0,1,3,0,113
95,Graduation,In Relationship,30096.0,30,5,3,11.0,12,5,9,1,2.0,0.0,3,6,0,0,0,0,0,0,0,31.0,33,6.0,1,3,0,169
96,Graduation,Single,47916.0,72,505,0,26.0,0,0,75,5,7.0,4.0,6,6,0,1,0,0,0,0,0,54.0,606,22.0,1,2,1,673
97,Graduation,Single,51813.0,37,51,2,7.0,0,1,2,2,2.0,0.0,3,7,0,0,0,0,0,0,0,42.0,63,7.0,2,3,0,361
98,2n Cycle,In Relationship,78497.0,44,207,26,447.0,75,0,223,1,5.0,7.0,12,2,0,0,0,1,0,0,0,63.0,903,25.0,0,2,1,650
99,PhD,In Relationship,50150.0,32,135,46,92.0,65,61,11,2,5.0,2.0,7,5,0,0,0,0,0,0,0,31.0,345,16.0,0,2,0,503
100,2n Cycle,Single,47823.0,0,53,1,5.0,2,1,10,2,2.0,0.0,3,8,0,0,0,0,0,0,0,54.0,70,7.0,1,2,0,502
101,PhD,Single,34554.0,43,41,1,6.0,2,0,5,2,2.0,0.0,3,6,0,0,0,0,0,0,0,55.0,53,7.0,1,2,0,209
102,Graduation,In Relationship,85693.0,59,386,172,183.0,185,132,111,2,9.0,5.0,11,5,0,0,0,0,0,0,0,35.0,984,27.0,1,3,0,537
103,PhD,In Relationship,65846.0,68,562,81,276.0,80,40,81,1,6.0,3.0,6,4,0,0,0,0,0,0,0,69.0,1040,16.0,0,2,0,501
104,Graduation,In Relationship,87195.0,35,217,76,690.0,50,26,38,1,3.0,11.0,5,1,0,0,0,0,0,0,1,55.0,1047,20.0,0,2,1,89
105,Basic,In Relationship,24594.0,94,1,3,6.0,10,0,9,1,1.0,0.0,3,5,0,0,0,0,0,0,0,35.0,19,5.0,1,3,0,327
106,Graduation,In Relationship,49096.0,15,144,1,32.0,2,1,7,4,4.0,1.0,4,7,0,0,0,0,0,0,0,50.0,185,13.0,2,4,0,424
107,Graduation,In Relationship,52413.0,56,295,106,271.0,75,98,65,4,6.0,4.0,12,6,0,0,0,0,0,0,0,45.0,835,26.0,2,4,0,617
108,Graduation,Single,38557.0,17,76,3,31.0,4,4,27,2,3.0,1.0,3,7,0,0,0,0,0,0,0,36.0,141,9.0,1,2,0,701
109,Master,In Relationship,89058.0,18,454,194,106.0,31,22,43,1,5.0,4.0,4,2,0,0,0,0,0,0,0,54.0,819,14.0,0,2,0,860
110,Graduation,In Relationship,77298.0,46,425,115,292.0,23,35,79,1,6.0,6.0,11,3,0,0,0,0,0,0,0,35.0,946,24.0,1,3,0,618
111,PhD,Single,68126.0,40,1332,17,311.0,23,51,86,1,7.0,4.0,5,9,0,1,0,0,0,0,1,23.0,1797,17.0,0,1,2,747
112,Master,In Relationship,57288.0,27,527,0,21.0,0,0,60,3,8.0,1.0,8,6,0,1,0,0,0,0,0,51.0,608,20.0,1,3,1,138
113,Graduation,Single,86037.0,95,490,44,125.0,29,20,22,1,6.0,7.0,11,3,0,1,1,0,0,0,1,23.0,701,25.0,0,1,3,579
114,PhD,In Relationship,43974.0,19,378,0,101.0,0,0,72,5,6.0,4.0,6,7,0,0,0,0,0,0,0,34.0,551,21.0,1,3,0,706
115,Graduation,Single,50785.0,27,64,1,21.0,0,1,27,2,2.0,1.0,3,6,0,0,0,0,0,0,0,52.0,114,8.0,2,3,0,397
116,Graduation,In Relationship,90765.0,25,547,99,812.0,151,82,33,0,4.0,6.0,5,1,0,0,1,1,0,0,0,44.0,1573,15.0,0,2,2,292
117,2n Cycle,In Relationship,36550.0,74,47,90,94.0,123,103,120,5,9.0,1.0,5,9,0,0,0,0,0,0,0,36.0,454,20.0,1,3,0,582
118,2n Cycle,In Relationship,30753.0,85,12,5,25.0,0,9,30,2,1.0,1.0,3,5,0,0,0,0,0,0,0,47.0,81,7.0,2,4,0,310
119,Graduation,In Relationship,21918.0,37,1,6,7.0,11,5,3,2,2.0,0.0,3,6,0,0,0,0,0,0,0,45.0,22,7.0,1,3,0,351
120,Master,In Relationship,56129.0,65,320,48,133.0,39,72,48,4,6.0,2.0,10,4,0,0,0,0,0,0,0,61.0,621,22.0,1,3,0,470
121,Master,Single,32557.0,13,34,3,29.0,0,4,10,3,2.0,1.0,3,5,0,0,0,0,0,0,1,47.0,80,9.0,1,2,1,273
122,Master,In Relationship,19510.0,63,9,0,7.0,3,4,7,2,1.0,0.0,3,7,0,0,0,0,0,0,0,29.0,27,6.0,2,4,0,544
123,Graduation,Single,30992.0,83,17,0,14.0,7,3,2,1,1.0,0.0,3,7,0,0,0,0,0,0,0,38.0,36,5.0,1,2,0,511
124,Graduation,Single,101970.0,69,722,27,102.0,44,72,168,0,6.0,8.0,13,2,0,1,1,1,0,0,1,31.0,1091,27.0,0,1,4,300
125,2n Cycle,In Relationship,71488.0,87,162,33,124.0,40,28,172,2,3.0,4.0,7,1,0,0,0,0,0,0,0,49.0,519,16.0,0,2,0,570
126,Graduation,Single,79607.0,37,450,133,951.0,173,0,216,1,3.0,6.0,6,1,0,0,0,0,0,0,1,30.0,1750,16.0,0,1,1,558
127,Master,In Relationship,54348.0,51,70,0,16.0,0,0,4,2,2.0,0.0,4,6,0,0,0,0,0,0,0,61.0,90,8.0,2,4,0,72
128,PhD,In Relationship,52247.25135379061,23,352,0,27.0,10,0,15,3,6.0,1.0,7,6,0,0,0,0,0,0,0,53.0,394,17.0,1,3,0,372
129,PhD,In Relationship,77376.0,72,492,19,110.0,16,12,12,4,6.0,3.0,10,4,0,0,0,0,0,0,0,58.0,645,23.0,2,4,0,-9
130,Graduation,In Relationship,62998.0,10,120,58,73.0,65,89,58,5,5.0,4.0,5,5,0,0,0,0,0,0,0,62.0,398,19.0,1,3,0,423
131,Master,Single,61331.0,42,534,5,47.0,0,5,41,5,11.0,1.0,6,8,0,0,0,0,0,0,0,56.0,632,23.0,2,3,0,388
132,Graduation,In Relationship,73448.0,10,236,106,189.0,23,41,130,1,7.0,2.0,9,4,0,0,0,0,0,0,0,45.0,702,19.0,0,2,0,56
133,Graduation,In Relationship,52247.25135379061,96,231,65,196.0,38,71,124,1,6.0,5.0,7,4,0,0,0,0,0,0,0,51.0,687,19.0,1,3,0,298
134,PhD,In Relationship,41551.0,51,220,0,33.0,3,0,23,5,5.0,1.0,5,8,0,0,0,0,0,0,0,50.0,276,16.0,2,4,0,429
135,PhD,In Relationship,62981.0,21,796,14,590.0,38,44,0,1,4.0,5.0,13,3,0,1,0,0,0,0,0,47.0,1444,23.0,0,2,1,609
136,Basic,Single,9548.0,31,0,1,3.0,10,6,9,2,1.0,0.0,3,8,0,0,0,0,0,0,0,38.0,19,6.0,1,2,0,820
137,PhD,In Relationship,33762.0,61,53,1,34.0,2,0,16,3,2.0,2.0,2,8,0,0,0,0,0,0,0,55.0,104,9.0,3,5,0,457
138,PhD,Single,35860.0,37,15,0,8.0,4,2,20,2,1.0,1.0,2,5,1,0,0,0,0,0,1,41.0,45,6.0,2,3,2,165
139,PhD,Single,36921.0,74,17,1,12.0,3,1,4,2,2.0,0.0,3,7,0,0,0,0,0,0,0,49.0,35,7.0,2,3,0,423
140,Master,Single,92859.0,46,962,61,921.0,52,61,20,1,5.0,4.0,12,2,0,0,0,0,0,0,0,22.0,2025,22.0,0,1,0,733
141,Master,In Relationship,65104.0,4,738,0,232.0,13,20,50,2,3.0,5.0,7,7,0,0,0,0,0,0,1,38.0,1040,17.0,1,3,1,384
142,Graduation,In Relationship,86111.0,73,399,28,756.0,36,40,126,1,5.0,7.0,10,2,0,0,0,0,0,0,0,52.0,1349,23.0,0,2,0,524
143,PhD,Single,68352.0,47,614,16,132.0,43,33,33,3,8.0,5.0,9,6,0,0,0,0,0,0,0,40.0,828,25.0,1,2,0,419
144,Graduation,In Relationship,41883.0,13,32,34,41.0,73,16,116,3,4.0,2.0,3,7,0,0,0,0,0,0,0,26.0,239,12.0,1,3,0,615
145,Graduation,In Relationship,59809.0,36,598,16,141.0,32,41,49,3,3.0,3.0,6,8,0,0,0,0,0,0,0,38.0,845,15.0,2,4,0,744
146,Graduation,In Relationship,23957.0,47,2,1,18.0,20,11,16,1,2.0,0.0,3,6,0,0,0,0,0,0,1,39.0,48,6.0,1,3,1,723
147,Graduation,In Relationship,38547.0,49,6,1,10.0,0,1,4,1,1.0,0.0,2,8,0,0,0,0,0,1,0,33.0,22,4.0,1,3,0,417
148,2n Cycle,In Relationship,35688.0,94,73,3,90.0,12,1,32,7,4.0,1.0,4,8,0,0,0,0,0,0,0,41.0,199,16.0,3,5,0,743
149,Master,In Relationship,49605.0,65,42,16,29.0,12,20,8,1,2.0,1.0,4,3,0,0,0,0,0,0,0,48.0,115,8.0,0,2,0,104
150,Master,In Relationship,59354.0,59,295,21,78.0,39,13,13,1,4.0,4.0,7,3,0,0,0,0,0,0,0,61.0,420,16.0,2,4,0,168
151,Graduation,In Relationship,65747.0,96,346,17,48.0,23,13,13,4,8.0,1.0,6,6,0,1,0,0,0,0,0,45.0,437,19.0,1,3,1,61
152,2n Cycle,In Relationship,46344.0,28,233,20,57.0,8,20,91,4,7.0,1.0,5,7,0,0,0,0,0,0,0,42.0,421,17.0,1,3,0,695
153,Graduation,Single,34176.0,12,5,7,24.0,19,14,20,4,3.0,0.0,4,6,0,0,0,0,0,0,0,26.0,70,11.0,1,2,0,-10
154,PhD,In Relationship,61010.0,57,888,0,57.0,0,0,76,2,8.0,5.0,11,5,0,0,0,0,0,0,0,62.0,1021,26.0,1,3,0,761
155,Graduation,In Relationship,69372.0,10,997,26,269.0,34,13,42,1,10.0,4.0,6,4,0,1,1,0,0,0,1,65.0,1347,21.0,0,2,3,646
156,Graduation,Single,49967.0,4,212,6,69.0,4,12,3,3,6.0,1.0,5,7,0,0,0,0,0,0,0,56.0,302,15.0,1,2,0,483
157,Graduation,Single,60199.0,49,8,1,7.0,2,0,0,1,0.0,0.0,3,4,0,0,0,0,0,0,0,36.0,16,4.0,3,4,0,314
158,Graduation,In Relationship,55375.0,3,42,11,57.0,10,28,14,1,1.0,1.0,6,2,0,0,0,0,0,0,0,37.0,152,9.0,1,3,0,413
159,Graduation,Single,80317.0,64,536,11,387.0,149,91,57,1,3.0,4.0,10,1,0,0,0,0,0,0,0,59.0,1082,18.0,0,1,0,410
160,Master,Single,30523.0,0,5,0,3.0,0,0,5,1,1.0,0.0,2,7,0,0,0,0,0,0,0,56.0,13,4.0,3,4,0,699
161,PhD,In Relationship,70356.0,20,1349,16,249.0,43,16,33,2,10.0,6.0,9,6,0,0,0,0,0,0,0,69.0,1663,27.0,0,2,0,920
162,Graduation,In Relationship,23228.0,91,53,3,49.0,7,4,5,4,3.0,0.0,4,8,0,0,0,0,0,0,0,30.0,114,11.0,1,3,0,129
163,PhD,Single,74165.0,9,1001,12,240.0,16,12,12,1,5.0,4.0,10,2,0,0,0,0,0,0,0,39.0,1277,20.0,0,1,0,692
165,Graduation,In Relationship,43482.0,83,18,1,32.0,6,3,28,3,2.0,0.0,4,6,0,0,0,0,0,0,0,48.0,82,9.0,3,5,0,306
166,Graduation,Single,62551.0,27,125,16,98.0,134,21,27,1,6.0,7.0,4,3,1,0,0,0,0,0,0,61.0,287,18.0,0,1,1,357
167,Graduation,Single,52332.0,63,212,5,33.0,7,0,2,1,3.0,2.0,6,4,0,1,0,0,0,0,0,55.0,252,12.0,0,1,1,403
168,Graduation,Single,66951.0,46,277,162,305.0,173,76,124,1,3.0,4.0,7,1,0,0,0,0,0,0,0,26.0,944,15.0,0,1,0,618
169,Graduation,In Relationship,26091.0,84,15,10,19.0,8,17,20,3,2.0,1.0,3,5,0,0,0,0,0,0,0,57.0,81,9.0,2,4,0,201
170,Graduation,In Relationship,33456.0,58,7,3,10.0,8,1,7,2,1.0,0.0,3,7,0,0,0,0,0,0,0,49.0,28,6.0,2,4,0,172
171,Graduation,In Relationship,28718.0,78,12,4,6.0,11,8,16,2,2.0,0.0,3,8,0,0,0,0,0,0,0,32.0,46,7.0,1,3,0,434
172,Graduation,In Relationship,50447.0,4,85,7,24.0,2,3,27,1,3.0,1.0,3,6,0,0,0,0,0,0,0,44.0,146,8.0,2,4,0,226
173,PhD,In Relationship,53537.0,17,81,0,6.0,0,0,6,2,2.0,1.0,3,5,0,0,0,0,0,0,0,55.0,93,8.0,2,4,0,294
